Model,ROC-AUC,ROC-AUC SD,PR-AUC,Macro F1
RF_1,0.6693364272768436,0.0148103157706316,0.9470499374025814,0.5533302610155262
RF_2,0.6812933889491999,0.016826554500332092,0.9496481816423643,0.5711510871145677
RF_3,0.6792569541106463,0.017937282828073917,0.9497238111319369,0.5675974608957892
RF_4,0.6841310135222962,0.015909492122302988,0.9508665207546014,0.5699134799906519
RF_5,0.6894512362729738,0.017073817788049617,0.9508693681710669,0.5630786913705519
